Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|19/11/2012| 87043159|2002|TOYOTA|TACOMA X/C 4X4 SR5|3400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|75583.74|17535.42|
ESTADOS UNIDOS|PUERTO BARRIOS|08/11/2012| 87032369|2007|TOYOTA|COROLLA CE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|29026.67|3483.2|
TAILANDIA|CENTRAL DE GUATEMALA|12/11/2012| 87032269|2012|HONDA|CITY LX|1500|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|97999.51|11759.94|
ESTADOS UNIDOS|TECUN UMAN|20/11/2012| 87032374|2005|TOYOTA|SIENNA LE|3300|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|5|0|42004.72|5040.57|
ESTADOS UNIDOS|TECUN UMAN|20/11/2012| 87012000|2001|FREIGHTLINER|C120064ST CENTURY CLASS|14000|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|15|69456.62|8334.79|
JAPON|CENTRAL DE GUATEMALA|22/11/2012| 87042159|2013|NISSAN|FRONTIER D22 4X2 C/S|2700|LIVIANO|PICK UP|OCASIONAL|DIESEL|3|2|1|708065.57|84967.87|
JAPON|CENTRAL DE GUATEMALA|22/11/2012| 87042159|2013|NISSAN|FRONTIER D22 4X2 C/S|2700|LIVIANO|PICK UP|OCASIONAL|DIESEL|3|2|1|708065.57|84967.87|
JAPON|CENTRAL DE GUATEMALA|22/11/2012| 87042159|2013|NISSAN|FRONTIER D22 4X2 C/S|2700|LIVIANO|PICK UP|OCASIONAL|DIESEL|3|2|1|708065.57|84967.87|
JAPON|CENTRAL DE GUATEMALA|22/11/2012| 87042159|2013|NISSAN|FRONTIER D22 4X2 C/S|2700|LIVIANO|PICK UP|OCASIONAL|DIESEL|3|2|1|708065.57|84967.87|
JAPON|CENTRAL DE GUATEMALA|22/11/2012| 87042159|2013|NISSAN|FRONTIER D22 4X2 C/S|2700|LIVIANO|PICK UP|OCASIONAL|DIESEL|3|2|1|708065.57|84967.87|
JAPON|CENTRAL DE GUATEMALA|22/11/2012| 87042159|2013|NISSAN|FRONTIER D22 4X2 C/S|2700|LIVIANO|PICK UP|OCASIONAL|DIESEL|3|2|1|708065.57|84967.87|
JAPON|CENTRAL DE GUATEMALA|22/11/2012| 87042159|2013|NISSAN|FRONTIER D22 4X2 C/S|2700|LIVIANO|PICK UP|OCASIONAL|DIESEL|3|2|1|708065.57|84967.87|
CANADA|TECUN UMAN|20/11/2012| 87032369|2010|TOYOTA|COROLLA LE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|53391.82|6407.02|
ESTADOS UNIDOS|EL CARMEN|26/11/2012| 87043151|1997|TOYOTA|TACOMA XTRA CAB 4X4|2700|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|24429.33|2931.52|
JAPON|CENTRAL DE GUATEMALA|29/11/2012| 87021070|2013|TOYOTA|HI ACE|2494|PESADO|MICROBUS|DISTRIBUIDOR|DIESEL|15|4|0|142933.16|17151.98|
JAPON|EL CARMEN|28/11/2012| 87113090|2007|KAWASAKI|NINJA EX500D|500|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|24043.05|2885.17|
ESTADOS UNIDOS|TECUN UMAN|30/11/2012| 87043151|1997|FORD|F-150 XL 4X4|4600|LIVIANO|PICK UP|OCASIONAL|GASOLINA|3|2|1|28250.85|3390.1|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|05/12/2012| 87032480|2012|HONDA|PILOT EX-L|3500|LIVIANO|CAMIONETA|DISTRIBUIDOR|GASOLINA|8|5|0|226114.31|27133.72|
CHINA|PUERTO QUETZAL|07/12/2012| 87112090|2013|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|162592.13|19511.06|
JAPON|TECUN UMAN|09/11/2012| 87042290|1999|MITSUBISHI FUSO|FH211|5861|PESADO|CAMION FURGON |OCASIONAL|DIESEL|3|2|6|49502.66|5940.32|
TAILANDIA|PUERTO QUETZAL|20/11/2012| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|120631.41|14475.77|
JAPON|CENTRAL DE GUATEMALA|13/11/2012| 87032259|2013|TOYOTA|YARIS|1299|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|79280.78|9513.69|
ESTADOS UNIDOS|PUERTO BARRIOS|13/11/2012| 87032369|2007|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|24490.68|2938.88|
CHINA|PUERTO QUETZAL|15/11/2012| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1828431.46|219411.78|
CHINA|PUERTO QUETZAL|15/11/2012| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1828431.46|219411.78|
CHINA|PUERTO QUETZAL|15/11/2012| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1828431.46|219411.78|
CHINA|PUERTO QUETZAL|15/11/2012| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1828431.46|219411.78|
CHINA|PUERTO QUETZAL|15/11/2012| 87112090|2013|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1828431.46|219411.78|
