Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|4574136.19|548896.34|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|2950282.25|354033.87|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|2950282.25|354033.87|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|2950282.25|354033.87|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|2950282.25|354033.87|
JAPON|PUERTO QUETZAL|12/06/2013| 87042290|2013|HINO|GD1JJUA|7961|PESADO|CAMION|OCASIONAL|DIESEL|3|2|9.5|2950282.25|354033.87|
JAPON|PUERTO QUETZAL|12/06/2013| 87042390|2011|KOMATSU|HM300|3000|PESADO|CAMION VOLTEO|OCASIONAL|DIESEL|2|2|24.09|3457366.02|414883.92|
JAPON|PUERTO QUETZAL|12/06/2013| 87042390|2011|KOMATSU|HM300|3000|PESADO|CAMION VOLTEO|OCASIONAL|DIESEL|2|2|24.09|3457366.02|414883.92|
JAPON|PUERTO QUETZAL|12/06/2013| 87042390|2011|KOMATSU|HM300|3000|PESADO|CAMION VOLTEO|OCASIONAL|DIESEL|2|2|24.09|3457366.02|414883.92|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|21/06/2013| 87032363|2014|AUDI|Q3|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|213843.49|25661.22|
COREA DEL SUR|EL CARMEN|20/06/2013| 87032470|2005|KIA|SORENTO EX 4X4|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|38149.89|4577.99|
ESTADOS UNIDOS|PUERTO BARRIOS|20/06/2013| 87032369|2012|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25485.38|3058.25|
MEXICO|TECUN UMAN|20/06/2013| 87042290|2014|FREIGHTLINER|M2 35K|6400|PESADO|CAMION|OCASIONAL|DIESEL|3|2|12|474877.38|56985.29|
MEXICO|TECUN UMAN|20/06/2013| 87042290|2014|FREIGHTLINER|M2 35K|6400|PESADO|CAMION|OCASIONAL|DIESEL|3|2|12|474877.38|56985.29|
JAPON|EL CARMEN|20/06/2013| 87043151|1985|TOYOTA|4X2 STD|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|17824.13|2138.9|
ESTADOS UNIDOS|PUERTO BARRIOS|24/06/2013| 87032374|2007|MAZDA|5|2300|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|6|4|0|14281.28|1713.75|
JAPON|TECUN UMAN|25/06/2013| 87032373|2006|TOYOTA|RAV4 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|54235.86|6508.3|
