Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
JAPON|EL CARMEN|26/09/2013| 87032369|2012|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|44886.06|5386.33|
TAILANDIA|CENTRAL DE GUATEMALA|10/09/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|3|2|1|102108.36|12253|
JAPON|EL CARMEN|11/09/2013| 87032369|2003|MAZDA|PROTEGE5|2000|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|30014.33|3601.72|
ESTADOS UNIDOS|PUERTO BARRIOS|11/09/2013| 87032369|2012|MAZDA|3I|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|35969.56|4316.35|
JAPON|EL CARMEN|12/09/2013| 87039000|2007|TOYOTA|PRIUS TOURING|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|29855.53|3582.66|
ESTADOS UNIDOS|PUERTO BARRIOS|11/09/2013| 87032369|2007|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|18103.88|2172.47|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO RACING|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|468410.43|56209.25|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
TAIWAN|PUERTO QUETZAL|09/09/2013| 87112090|2014|KYMCO|VIVIO 150|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|972878.69|116745.44|
