Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
COREA DEL SUR|EXPRESS AEREO|23/10/2014| 87042290|2012|KIA|K2700|2700|PESADO|CAMION|OCASIONAL|DIESEL|2|2|2|110867.76|13304.13|
JAPON|CENTRAL DE GUATEMALA|17/10/2014| 87032263|2015|DAIHATSU|TERIOS|1495|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|84814.1|10177.69|
COREA DEL SUR|EXPRESS AEREO|13/10/2014| 87021060|1999|HYUNDAI|GRACE TURBO DIESEL|2476|PESADO|MICROBUS|OCASIONAL|DIESEL|15|3|0|44208.83|5305.06|
COREA DEL SUR|EXPRESS AEREO|13/10/2014| 87021060|2000|HYUNDAI|GRACE TURBO DIESEL|2476|PESADO|MICROBUS|OCASIONAL|DIESEL|15|3|0|44208.76|5305.05|
COREA DEL SUR|PUERTO QUETZAL|09/10/2014| 87033263|2015|SSANG YONG|KORANDO 2.0 A/T 4WD GSL|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|140683.02|16881.96|
ESTADOS UNIDOS|PUERTO BARRIOS|10/10/2014| 87032369|2008|SUZUKI|SX4|2000|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|19666.47|2359.98|
ESTADOS UNIDOS|PUERTO BARRIOS|10/10/2014| 87032379|2006|MAZDA|3 2.3|2300|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|17071.32|2048.56|
ESTADOS UNIDOS|PUERTO BARRIOS|14/10/2014| 87032379|2010|HYUNDAI|SANTA FE 4X2|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|43482.1|5217.85|
ALEMANIA REP. FED.|TECUN UMAN|31/10/2014| 87032379|2006|BMW|325i|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|26670.95|3200.51|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032369|2002|MAZDA|PROTEGE 5|2000|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|14876.38|1785.17|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87043151|2010|TOYOTA|TUNDRA 4X2|4600|LIVIANO|PICK UP|OCASIONAL|GASOLINA|6|4|1|50450.32|6054.04|
CANADA|TECUN UMAN|31/10/2014| 87032379|2012|TOYOTA|RAV4 4X2|2500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|82630.47|9915.66|
BRASIL|PUERTO BARRIOS|31/10/2014| 87112090|2008|HONDA|CRF 150 FA|149|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|7076.74|849.21|
JAPON|TECUN UMAN|01/11/2014| 87032369|2002|MAZDA|PROTEGE ES|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15066.61|1807.99|
ALEMANIA REP. FED.|EL CARMEN|01/11/2014| 87033390|1983|MERCEDES-BENZ|300 SD|3000|LIVIANO|AUTOMOVIL|OCASIONAL|DIESEL|5|4|0|20393.19|2447.18|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032369|2004|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|13765.4|1651.85|
ESTADOS UNIDOS|TECUN UMAN|01/11/2014| 87042290|2005|INTERNATIONAL|4300 SBA 4X2|7600|PESADO|CAMION FURGON |OCASIONAL|DIESEL|2|2|10|55700.81|6684.1|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032369|2003|MITSUBISHI|LANCER ES|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12022.85|1442.74|
JAPON|EL CARMEN|01/11/2014| 87032269|2007|HONDA|FIT SPORT HATCHBACK|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|21374.8|2564.98|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032369|1997|FORD|ESCORT LX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|8979.09|1077.49|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032470|1997|TOYOTA|4RUNNER SR5 4X4|3400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|15827.55|1899.31|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032369|2001|AUDI|A4 1.8T QUATTRO|1781|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12022.85|1442.74|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|06/11/2014| 87042199|1999|FORD|F-550 SUPER DUTY S/C 4X2|7300|PESADO|CAMION|OCASIONAL|DIESEL|6|4|2.5|87169.48|10460.34|
CANADA|EL CARMEN|01/11/2014| 87032369|2006|HONDA|CIVIC COUPE EX|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|17570.1|2108.41|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032379|2011|VOLKSWAGEN|JETTA 2.5 SE|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|24350.08|2922.01|
JAPON|EL CARMEN|01/11/2014| 87032269|2009|TOYOTA|YARIS HATCHBACK|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|3|0|20994.33|2519.32|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032379|2013|VOLKSWAGEN|JETTA 2.5 SE|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|29524.47|3542.94|
ESTADOS UNIDOS|EL CARMEN|31/10/2014| 87043151|2003|NISSAN|Frontier XE 4X4 Crew Cab|3300|LIVIANO|PICK UP|OCASIONAL|GASOLINA|5|4|1|34851.05|4182.13|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032363|2003|TOYOTA|RAV4 4WD|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|25521.93|3062.63|
JAPON|TECUN UMAN|01/11/2014| 87043151|1985|TOYOTA|XTRA CAB 4WD|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|18871.31|2264.56|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2014| 87032269|2013|HONDA|FIT|1500|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|27622.12|3314.65|
JAPON|TECUN UMAN|01/11/2014| 87043151|1985|TOYOTA|XTRA CAB 4X2|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|20012.72|2401.53|
JAPON|EL CARMEN|31/10/2014| 87032369|2001|TOYOTA|RAV4 4WD|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|31807.29|3816.87|
ESTADOS UNIDOS|TECUN UMAN|01/11/2014| 87042290|2000|FREIGHTLINER|FL70|7200|PESADO|CAMION|OCASIONAL|DIESEL|3|2|12|26785.09|3214.21|
ESTADOS UNIDOS|TECUN UMAN|31/10/2014| 87021080|1994|BLUE BIRD|ALL AMERICAN|8300|PESADO|BUS|OCASIONAL|DIESEL|84|2|5|36677.31|4401.28|
COREA DEL SUR|CENTRAL DE GUATEMALA|09/10/2014| 87032259|2014|CHEVROLET|SPARK|1200|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|53088.5|6370.62|
ESTADOS UNIDOS|PUERTO BARRIOS|09/10/2014| 87032379|2010|HYUNDAI|TUCSON 4X2|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|47753.14|5730.38|
CANADA|EL CARMEN|09/10/2014| 87032369|2008|TOYOTA|COROLLA CE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|13020.8|1562.5|
JAPON|EL CARMEN|10/10/2014| 87032152|2001|YAMAHA|YFM660R|660||CUATRIMOTO|OCASIONAL|GASOLINA|2|0|0|27470.2|3296.42|
ESTADOS UNIDOS|PUERTO BARRIOS|09/10/2014| 87032369|2004|HONDA|CIVIC EX|1700|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|16937|2032.44|
ESTADOS UNIDOS|TECUN UMAN|10/10/2014| 87032369|2004|TOYOTA|COROLLA CE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16910.56|2029.27|
MEXICO|PUERTO QUETZAL|08/10/2014| 87032369|2015|NISSAN|VERSA N17|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|828083.09|99369.97|
