Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
COREA DEL SUR|EXPRESS AEREO|17/04/2015| 87032230|2000|HYUNDAI|ACCENT GL|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|14812.98|5095.67|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|21/04/2015| 87032470|2015|JEEP|G. CHEROKEE LAREDO 4X4|3600|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|219134.53|26296.14|
ESTADOS UNIDOS|PUERTO BARRIOS|09/04/2015| 87032369|2007|HONDA|CIVIC|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19598.7|2351.84|
JAPON|EL CARMEN|10/04/2015| 87043151|1990|TOYOTA|4X4 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|18600.68|2232.08|
ESTADOS UNIDOS|PUERTO BARRIOS|10/04/2015| 87032369|2007|HONDA|CIVIC|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|13885.44|1666.25|
JAPON|EL CARMEN|10/04/2015| 87032369|2010|MAZDA|MAZDA3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|24219.15|2906.3|
BRASIL|CENTRAL DE GUATEMALA|14/04/2015| 87043151|2015|VOLKSWAGEN|SAVEIRO|1600|LIVIANO|PICK UP|DISTRIBUIDOR|GASOLINA|2|2|.5|87973.09|10556.77|
ESTADOS UNIDOS|TECUN UMAN|08/04/2015| 87032369|2007|HONDA|CIVIC EX|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|20274.17|2432.9|
JAPON|PUERTO BARRIOS|08/04/2015| 87032369|2003|MAZDA|PROTEGE 5|2000|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|15142.08|1817.05|
ESTADOS UNIDOS|PUERTO BARRIOS|08/04/2015| 87032480|2009|HONDA|ODYSSEY TOURING|3500|LIVIANO|MICROBUS|OCASIONAL|GASOLINA|8|4|0|65816.88|7898.03|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
CHINA|PUERTO QUETZAL|13/04/2015| 87112090|2016|FREEDOM|SUPER LIFE|150|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|1159874.67|139184.96|
