Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|14/04/2014| 87032369|2012|FORD|EXPLORER LIMITED ECO|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|4|0|76162.34|9139.48|
ESTADOS UNIDOS|EXPRESS AEREO|14/04/2014| 87032379|2004|HYUNDAI|SANTA FE 4X2|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|54761.19|6571.34|
TAILANDIA|CENTRAL DE GUATEMALA|02/05/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|137997.61|16559.71|
JAPON|CENTRAL DE GUATEMALA|02/05/2014| 87021070|2014|TOYOTA|HI ACE|2986|PESADO|MICROBUS|DISTRIBUIDOR|DIESEL|16|4|0|145992.89|17519.15|
ESTADOS UNIDOS|TECUN UMAN|05/05/2014| 87163900|1989|WABASH|SIN LINEA|0|PESADO|PLATAFORMA|OCASIONAL|OTROS|0|0|20|29490.4|6841.77|
ESTADOS UNIDOS|PUERTO BARRIOS|03/05/2014| 87032369|2007|HONDA|CIVIC|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|26278.88|3153.47|
ESTADOS UNIDOS|PUERTO BARRIOS|03/05/2014| 87032369|2007|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19060.68|2287.28|
ESTADOS UNIDOS|PUERTO BARRIOS|05/05/2014| 87032369|2007|CHEVROLET|AVEO LS|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16169.44|1940.33|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|05/05/2014| 87032379|2013|MAZDA|6|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|23855.4|2862.65|
JAPON|PUERTO BARRIOS|05/05/2014| 87032379|2008|MAZDA|3 SPEED|2300|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|32280.4|3873.65|
JAPON|EL CARMEN|06/05/2014| 87032269|2009|TOYOTA|YARIS H/B|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|24302.88|2916.35|
