Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|06/06/2012| 87163900|1999|WABASH|SIN LINEA|0|PESADO|FURGON|OCASIONAL|OTROS|0|2|20|36249.04|8409.77|
JAPON|CENTRAL DE GUATEMALA|24/05/2012| 87042169|2013|NISSAN|URVAN E25|3000|LIVIANO|PANEL|OCASIONAL|DIESEL|3|5|1|135615.09|23868.25|
BRASIL|EL CARMEN|23/05/2012| 87112090|2006|HONDA|CRF150F6|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|13879.45|3220.04|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NM|2771|PESADO|CAMION|OCASIONAL|DIESEL|3|2|3.4|739463.14|88735.58|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NM|2771|PESADO|CAMION|OCASIONAL|DIESEL|3|2|3.4|739463.14|88735.58|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NM|2771|PESADO|CAMION|OCASIONAL|DIESEL|3|2|3.4|739463.14|88735.58|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NM|2771|PESADO|CAMION|OCASIONAL|DIESEL|3|2|3.4|739463.14|88735.58|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NM|2771|PESADO|CAMION|OCASIONAL|DIESEL|3|2|3.4|739463.14|88735.58|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NP|4570|PESADO|CAMION|OCASIONAL|DIESEL|3|2|6|190677.15|22881.26|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NQ|5193|PESADO|CAMION|OCASIONAL|DIESEL|3|2|7|411010.91|49321.31|
JAPON|PUERTO QUETZAL|23/05/2012| 87042290|2013|ISUZU|NQ|5193|PESADO|CAMION|OCASIONAL|DIESEL|3|2|7|411010.91|49321.31|
JAPON|EL CARMEN|23/05/2012| 87043151|1993|TOYOTA|4X2 X-CAB DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|20838.61|4834.56|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|24/05/2012| 87032369|2012|AUDI|A4 1.8 TFSI MULTITRONIC|1798|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|185920.15|63956.53|
JAPON|EL CARMEN|24/05/2012| 87032364|1996|TOYOTA|RAV4 4X4|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|24561.36|7073.67|
JAPON|EL CARMEN|26/05/2012| 87032369|2003|MAZDA|PROTEGE ES|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|26395.57|9080.07|
JAPON|EL CARMEN|26/05/2012| 87113090|1990|SUZUKI|DR350|350|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|7438.11|1725.64|
CHINA|EL CARMEN|28/05/2012| 87032373|1999|DODGE|CARAVAN|2400|LIVIANO|MICROBUS|OCASIONAL|GASOLINA|7|4|0|15623.36|4499.52|
ESTADOS UNIDOS|TECUN UMAN|28/05/2012| 87042290|1994|INTERNATIONAL|4900 DT466 4X2|7600|PESADO|CAMION FURGON |OCASIONAL|DIESEL|2|2|10|64831.1|7779.73|
MEXICO|EL CARMEN|28/05/2012| 87032369|2001|VOLKSWAGEN|CABRIO GLX CONVERTIBLE|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|15740.24|5414.64|
ALEMANIA REP. FED.|TECUN UMAN|28/05/2012| 87032379|2001|PORSCHE|BOXSTER|2700|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|2|2|0|61402.54|21122.48|
CANADA|EL CARMEN|28/05/2012| 87032369|2003|TOYOTA|MATRIX 4X2|1800|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|27506.47|9462.22|
MEXICO|AGUA CALIENTE|31/05/2012| 87012000|2011|INTERNATIONAL|PROSTAR 6X4|12400|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|15|385869.74|46304.37|
ESTADOS UNIDOS|TECUN UMAN|28/05/2012| 87012000|2002|FREIGHTLINER|CL120064S T COLUMBIA|12700|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|15|60935|7312.2|
JAPON|TECUN UMAN|28/05/2012| 87032369|2000|TOYOTA|RAV4 L 4X2|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|23220.76|7987.94|
COREA DEL SUR|TECUN UMAN|21/05/2012| 87032369|2008|KIA|RIO LX|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19511.49|6711.95|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|24/05/2012| 87042290|2013|MERCEDES-BENZ|ATEGO 1623|6374|PESADO|CAMION|OCASIONAL|DIESEL|3|2|11.31|382193.75|45863.25|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|24/05/2012| 87042290|2013|MERCEDES-BENZ|ATEGO 1623|6374|PESADO|CAMION|OCASIONAL|DIESEL|3|2|11.31|382193.83|45863.26|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|24/05/2012| 87042290|2013|MERCEDES-BENZ|ATEGO 1623|6374|PESADO|CAMION|OCASIONAL|DIESEL|3|2|11.31|382193.83|45863.26|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|24/05/2012| 87042290|2013|MERCEDES-BENZ|ATEGO 1623|6374|PESADO|CAMION|OCASIONAL|DIESEL|3|2|11.31|382193.83|45863.26|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|31/05/2012| 87115090|2012|HARLEY-DAVIDSON|ESPORTER ESTILO FORTY EIG|1200|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|70306.29|16311.06|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|31/05/2012| 87115090|2012|HARLEY-DAVIDSON|SPORTER ESTILO LOW|883|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|55451.95|12864.86|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|31/05/2012| 87115090|2012|HARLEY-DAVIDSON|SOFTILE ESTILO BLACK LINE|1690|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|100249.02|23257.77|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|31/05/2012| 87115090|2012|HARLEY-DAVIDSON|TURIN ESTILO ROADKING|1690|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|113362.68|26300.14|
JAPON|CENTRAL DE GUATEMALA|28/05/2012| 87032379|2012|HONDA|CRV 4X2|2400|LIVIANO|CAMIONETA|DISTRIBUIDOR|GASOLINA|5|5|0|151289.82|52043.69|
JAPON|CENTRAL DE GUATEMALA|28/05/2012| 87032373|2012|HONDA|CRV 4X4|2400|LIVIANO|CAMIONETA|DISTRIBUIDOR|GASOLINA|5|5|0|186537.67|53722.85|
BRASIL|EL CARMEN|25/05/2012| 87113090|2004|HONDA|CRF230F|223|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|12851.19|2981.48|
ESTADOS UNIDOS|EL CARMEN|25/05/2012| 87043151|1996|TOYOTA|TACOMA XTRA CAB 4X4|3400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|38981.94|9043.81|
CANADA|TECUN UMAN|25/05/2012| 87032369|2005|TOYOTA|MATRIX XR|1800|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|25638.36|8819.59|
ESTADOS UNIDOS|TECUN UMAN|25/05/2012| 87012000|1994|KENWORTH|T600|14000|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|15|41435.35|4972.24|
JAPON|TECUN UMAN|25/05/2012| 87032379|2007|SUZUKI|GRAND VITARA 2WD|2700|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|38164.14|13128.47|
ESTADOS UNIDOS|EL CARMEN|25/05/2012| 87043151|1980|TOYOTA|STD 4X2|2200|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|23794.17|5520.25|
CANADA|TECUN UMAN|25/05/2012| 87113090|2000|SUZUKI|DR-Z400EY|398|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|14603.63|3388.04|
BRASIL|EL CARMEN|25/05/2012| 87112090|2004|HONDA|CRF150F4|157|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|8762.18|2032.83|
ESTADOS UNIDOS|PUERTO BARRIOS|25/05/2012| 87032369|2001|HONDA|CIVIC|1700|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|15421.43|5304.98|
JAPON|EL CARMEN|25/05/2012| 87043151|1990|TOYOTA|4X4 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|22236.45|5158.86|
ESTADOS UNIDOS|PUERTO BARRIOS|25/05/2012| 87032369|2008|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|24448.42|8410.25|
