Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
JAPON|TECUN UMAN|09/08/2013| 87032369|2007|MAZDA|MAZDA 3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|22222.93|2666.75|
MEXICO|EXPRESS AEREO|16/08/2013| 87163900|2013|CARMEX|VOLTEO RAPTOR|0|PESADO|SEMI REMOLQUE|OCASIONAL|OTROS|0|1|45|359105.16|43092.62|
ESTADOS UNIDOS|PUERTO BARRIOS|09/08/2013| 87032369|2010|VOLKSWAGEN|TIGUAN 2.0T 4X2|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|80203.63|9624.44|
JAPON|EL CARMEN|16/08/2013| 87032363|1999|HONDA|CR-V EX 4WD|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|19789.59|2374.75|
COREA DEL SUR|EL CARMEN|16/08/2013| 87032369|2007|CHEVROLET|AVEO LS|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15492.65|1859.12|
JAPON|TECUN UMAN|19/08/2013| 87032374|2011|TOYOTA|SIENNA LE|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|4|0|65326.72|7839.21|
ESTADOS UNIDOS|TECUN UMAN|20/08/2013| 87032379|2011|HONDA|CR-V EX 4X2|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|61026.83|7323.22|
JAPON|TECUN UMAN|20/08/2013| 87032470|2003|NISSAN|PATHFINDER SE 4X4|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|16528.92|1983.47|
ESTADOS UNIDOS|PUERTO BARRIOS|27/08/2013| 87032369|2000|TOYOTA|COROLLA VE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|13765.96|1651.92|
JAPON|TECUN UMAN|04/09/2013| 87032369|2011|MITSUBISHI|OUTLANDER SPORT 4X2|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|49196.84|5903.62|
CANADA|EL CARMEN|06/09/2013| 87032369|2003|HONDA|CIVIC LX SEDAN AT|1700|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|20874.78|2504.97|
ESTADOS UNIDOS|PUERTO BARRIOS|06/09/2013| 87112090|2013|HONDA|CRF 250L|249|LIVIANO|MOTO|OCASIONAL|GASOLINA|1|0|0|47228.19|5667.38|
JAPON|EL CARMEN|06/09/2013| 87043151|1991|TOYOTA|XTRA CAB 4X2 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|25093.39|3011.21|
JAPON|TECUN UMAN|06/09/2013| 87042290|1996|HINO|FE2618 TURBO INTERCOOLER|6500|PESADO|CAMION|OCASIONAL|DIESEL|2|2|10|40894.46|4907.34|
ESTADOS UNIDOS|PUERTO BARRIOS|16/08/2013| 87039000|2003|HONDA|CIVIC HYBRID|1300|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|14861.91|1783.43|
ESTADOS UNIDOS|EXPRESS AEREO|19/08/2013| 87032369|2012|NISSAN|X-TRAIL 4X2|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|5|0|30591.08|3670.93|
ESTADOS UNIDOS|EL CARMEN|17/08/2013| 87043151|1994|TOYOTA|4X4 DX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|21129.92|2535.59|
JAPON|TECUN UMAN|16/08/2013| 87042290|1992|GMC|FORDWARD 6500|6500|PESADO|CAMION|OCASIONAL|DIESEL|3|2|10|32089.1|3850.69|
MEXICO|TECUN UMAN|17/08/2013| 87032369|2012|NISSAN|VERSA 1.8 SL|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|38301.93|4596.23|
ESTADOS UNIDOS|TECUN UMAN|16/08/2013| 87032379|1996|NISSAN|ALTIMA GXE|2400|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15610.91|1873.31|
ESTADOS UNIDOS|PUERTO BARRIOS|16/08/2013| 87032369|2005|MAZDA|3I|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16044.55|1925.35|
ESTADOS UNIDOS|PUERTO BARRIOS|16/08/2013| 87032363|1996|TOYOTA|RAV4 4X4|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|13324.47|1598.94|
ESTADOS UNIDOS|PUERTO BARRIOS|16/08/2013| 87032363|1999|TOYOTA|RAV4 4X4|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|21524.14|2582.9|
ESTADOS UNIDOS|EL CARMEN|16/08/2013| 87032490|2006|JEEP|LIBERTY SPORT 4X2|3700|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|55820.84|6698.5|
JAPON|TECUN UMAN|16/08/2013| 87032490|1998|TOYOTA|4RUNNER LIMITED 2WD|3400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|28225.79|3387.09|
JAPON|EL CARMEN|17/08/2013| 87043151|1989|TOYOTA|4X4 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|20932.82|2511.94|
JAPON|EL CARMEN|17/08/2013| 87043151|1994|TOYOTA|X/C 4X2 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|21524.14|2582.9|
