Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|PUERTO BARRIOS|01/04/2013| 87032269|2007|TOYOTA|YARIS|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|20284.92|2434.19|
ESTADOS UNIDOS|TECUN UMAN|01/04/2013| 87163900|1999|TRANSCRAFT|TL2000 S2 45X102|0|PESADO|PLATAFORMA|OCASIONAL|OTROS|0|0|15|22694.24|5265.06|
COREA DEL SUR|EXPRESS AEREO|03/04/2013| 87033271|2012|HYUNDAI|H-1|2500|PESADO|AMBULANCIA|OCASIONAL|DIESEL|2|5|0|290550.04|34866|
COREA DEL SUR|EXPRESS AEREO|03/04/2013| 87033271|2012|HYUNDAI|H-1|2500|PESADO|AMBULANCIA|OCASIONAL|DIESEL|2|5|0|246460.04|29575.2|
JAPON|PUERTO QUETZAL|20/03/2013| 87032152|2013|YAMAHA|YFM90|90|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|1|0|0|12172.74|1460.73|
JAPON|PUERTO QUETZAL|20/03/2013| 87032152|2013|YAMAHA|YFM90|90|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|1|0|0|36518.37|4382.2|
JAPON|PUERTO QUETZAL|20/03/2013| 87032152|2013|YAMAHA|YFM90|90|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|1|0|0|36518.37|4382.2|
JAPON|PUERTO QUETZAL|20/03/2013| 87032152|2013|YAMAHA|YFM90|90|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|1|0|0|36518.37|4382.2|
COREA DEL SUR|EL CARMEN|21/03/2013| 87032369|2007|CHEVROLET|AVEO LS|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16710|2005.2|
COREA DEL SUR|EL CARMEN|21/03/2013| 87032369|2007|HYUNDAI|ACCENT SE|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|17101.34|2052.16|
JAPON|PUERTO BARRIOS|21/03/2013| 87032369|2007|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|23120.07|2774.41|
COREA DEL SUR|TECUN UMAN|22/03/2013| 87032369|2008|KIA|SPORTAGE LX 4X2|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|36553.36|4386.4|
COREA DEL SUR|EL CARMEN|24/03/2013| 87032369|2008|HYUNDAI|ACCENT GS H/B|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|3|0|22119.67|2654.36|
JAPON|EL CARMEN|27/03/2013| 87032379|2006|MAZDA|3S|2300|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|28496.39|3419.57|
ESTADOS UNIDOS|EL CARMEN|28/03/2013| 87043151|2005|TOYOTA|TUNDRA ACCESS CAB SR5 4X2|4000|LIVIANO|PICK UP|OCASIONAL|GASOLINA|5|4|1|69063.31|8287.6|
REINO UNIDO|EL CARMEN|28/03/2013| 87032373|2004|HONDA|CR-V 4X4 EX|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|44136.75|5296.41|
ESTADOS UNIDOS|EL CARMEN|29/03/2013| 87032369|2004|MAZDA|TRIBUTE 4X2 DX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|29087.48|3490.5|
ESTADOS UNIDOS|EL CARMEN|29/03/2013| 87043151|1995|NISSAN|4X2 BASE|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|17732.47|2127.9|
ESTADOS UNIDOS|EL CARMEN|29/03/2013| 87032369|2003|HONDA|CIVIC LX|1700|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|22315.3|2677.84|
ARGENTINA|CENTRAL DE GUATEMALA|02/04/2013| 87042159|2013|VOLKSWAGEN|AMAROK|2000|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|172746.92|20729.63|
COREA DEL SUR|EL CARMEN|01/04/2013| 87032369|2006|KIA|RIO LX|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|18497.36|2219.68|
ESTADOS UNIDOS|TECUN UMAN|25/03/2013| 87043151|2006|NISSAN|FRONTIER KING CAB SE 4X2|4000|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|4|1|66545.09|7985.41|
JAPON|TECUN UMAN|27/03/2013| 87032379|2003|HONDA|CR-V LX 4X2|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|30954.05|3714.49|
JAPON|PUERTO QUETZAL|04/04/2013| 87032259|2013|TOYOTA|YARIS|1299|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|158316.75|18998.01|
JAPON|PUERTO QUETZAL|04/04/2013| 87032259|2013|TOYOTA|YARIS|1299|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|158316.75|18998.01|
JAPON|PUERTO QUETZAL|04/04/2013| 87021070|2013|TOYOTA|HI ACE|2986|PESADO|MICROBUS|DISTRIBUIDOR|DIESEL|15|4|0|126141.65|15137|
JAPON|PUERTO QUETZAL|04/04/2013| 87021070|2013|TOYOTA|HI ACE|2986|PESADO|MICROBUS|DISTRIBUIDOR|DIESEL|15|4|0|127152.71|15258.33|
ESTADOS UNIDOS|EL CARMEN|27/03/2013| 87043151|1994|NISSAN|4X4 XE|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|20260.13|2431.22|
JAPON|TECUN UMAN|27/03/2013| 87043151|1992|TOYOTA|DLX 4X4|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|3|2|1|26287.61|3154.51|
COREA DEL SUR|TECUN UMAN|27/03/2013| 87032369|2004|KIA|SPECTRA|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12288.29|1474.59|
ESTADOS UNIDOS|EL CARMEN|27/03/2013| 87043151|1995|TOYOTA|TACOMA X/C 4X2|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|23798.84|2855.86|
ESTADOS UNIDOS|EL CARMEN|27/03/2013| 87043151|2003|TOYOTA|TacomaPreR DoubleCab 2WD|3400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|5|4|1|43397.89|5207.75|
REINO UNIDO|CENTRAL DE GUATEMALA|02/04/2013| 87032369|2014|NISSAN|Qashqai J10|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|134023.03|16082.76|
ESTADOS UNIDOS|EL CARMEN|29/03/2013| 87043151|1999|TOYOTA|TACOMA XTRA CAB 4X4 SR5|2700|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|43898.6|5267.83|
BRASIL|TECUN UMAN|02/04/2013| 87112090|2004|HONDA|CRF230F|230|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|15547.02|1865.64|
