Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
FRANCIA|EXPRESS AEREO|20/02/2014| 87112090|2007|KTM|640|625|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|11155.07|1338.61|
MEXICO|CENTRAL DE GUATEMALA|20/02/2014| 87032369|2015|NISSAN|NOTE|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|103475.86|12417.1|
JAPON|EL CARMEN|11/02/2014| 87043151|1995|TOYOTA|4X4 DX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|22370.98|2684.52|
TAILANDIA|CENTRAL DE GUATEMALA|10/02/2014| 87032269|2013|HONDA|CITY LX|1500|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|99053.14|11886.38|
COREA DEL SUR|CENTRAL DE GUATEMALA|14/02/2014| 87032259|2014|CHEVROLET|SPARK|1200|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|52277.79|6273.33|
COLOMBIA|CENTRAL DE GUATEMALA|25/02/2014| 87032363|2014|RENAULT|DUSTER|1998|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|111071.8|13328.62|
CHINA|CENTRAL DE GUATEMALA|10/02/2014| 87043151|2014|DFSK|PICK UP CON FURGÓN|1051|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|42472.32|5096.68|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|18/02/2014| 87032470|2013|CHEVROLET|TAHOE 2LT|5300|LIVIANO|CAMIONETA|DISTRIBUIDOR|GASOLINA|8|5|0|238050.02|28566|
TAILANDIA|CENTRAL DE GUATEMALA|10/02/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|277043.34|33245.2|
TAILANDIA|CENTRAL DE GUATEMALA|10/02/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|277043.34|33245.2|
BRASIL|CENTRAL DE GUATEMALA|10/02/2014| 87043151|2014|VOLKSWAGEN|SAVEIRO|1600|LIVIANO|PICK UP|DISTRIBUIDOR|GASOLINA|2|2|.5|76480.34|9177.64|
BRASIL|CENTRAL DE GUATEMALA|10/02/2014| 87043151|2014|VOLKSWAGEN|SAVEIRO|1600|LIVIANO|PICK UP|DISTRIBUIDOR|GASOLINA|2|2|.5|88153.37|10578.4|
BRASIL|CENTRAL DE GUATEMALA|10/02/2014| 87043151|2014|VOLKSWAGEN|SAVEIRO|1600|LIVIANO|PICK UP|DISTRIBUIDOR|GASOLINA|2|2|.5|88746.38|10649.57|
BRASIL|CENTRAL DE GUATEMALA|10/02/2014| 87043151|2014|VOLKSWAGEN|SAVEIRO|1600|LIVIANO|PICK UP|DISTRIBUIDOR|GASOLINA|2|2|.5|88153.37|10578.4|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|28/02/2014| 87033370|2014|MERCEDES-BENZ|ML 350 CDI|3000|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|425435.46|51052.26|
ESTADOS UNIDOS|TECUN UMAN|18/02/2014| 87012000|1990|INTERNATIONAL|8100 4X2|10000|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|15|37564.67|4507.76|
JAPON|EXPRESS AEREO|13/02/2014| 87032369|1998|HONDA|CR-V REAL TIME 4WD|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|14437.06|1732.45|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|14/02/2014| 87032363|2014|VOLKSWAGEN|TIGUAN|2000|LIVIANO|CAMIONETA AGRIC.|DISTRIBUIDOR|GASOLINA|5|4|0|171695.22|20603.43|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|14/02/2014| 87032363|2014|VOLKSWAGEN|TIGUAN|2000|LIVIANO|CAMIONETA AGRIC.|DISTRIBUIDOR|GASOLINA|5|4|0|169145.82|20297.5|
ESPANA|CENTRAL DE GUATEMALA|14/02/2014| 87032269|2014|VOLKSWAGEN|POLO HB|1400|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|103041.47|12364.98|
SLOVAKIA|CENTRAL DE GUATEMALA|14/02/2014| 87033370|2014|VOLKSWAGEN|TOUAREG|3000|LIVIANO|CAMIONETA AGRIC.|DISTRIBUIDOR|DIESEL|5|5|0|313930.38|37671.65|
TAILANDIA|CENTRAL DE GUATEMALA|12/02/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|127840.52|15340.86|
COREA DEL SUR|TECUN UMAN|08/02/2014| 87032379|2001|HYUNDAI|SANTA FE|2700|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|17114.9|2053.79|
TAILANDIA|CENTRAL DE GUATEMALA|11/02/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|138972.99|16676.76|
JAPON|CENTRAL DE GUATEMALA|11/02/2014| 87042159|2014|TOYOTA|LAND CRUISER|4164|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|6|4|1.5|199077.41|23889.29|
JAPON|CENTRAL DE GUATEMALA|11/02/2014| 87032259|2014|TOYOTA|YARIS|1299|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|83427.36|10011.28|
JAPON|EL CARMEN|08/02/2014| 87032379|2007|SUZUKI|GRAND VITARA 4X2 V6|2700|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|28620.78|3434.49|
JAPON|CENTRAL DE GUATEMALA|11/02/2014| 87033370|2014|TOYOTA|LAND CRUISER PRADO|2982|LIVIANO|CAMIONETA|DISTRIBUIDOR|DIESEL|7|5|0|239227.4|28707.29|
COREA DEL SUR|EL CARMEN|08/02/2014| 87032369|2006|HYUNDAI|TUCSON GL 4X2|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|23859.03|2863.08|
JAPON|EL CARMEN|09/02/2014| 87032369|1998|HONDA|CR-V 4X4 LX REALTIME|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|18515.21|2221.83|
JAPON|TECUN UMAN|10/02/2014| 87032363|1997|HONDA|CR-V  4X4|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|14314.28|1717.71|
JAPON|EL CARMEN|09/02/2014| 87032369|2004|SCION|XA H/B|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|21541.44|2584.97|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|14/02/2014| 87043151|2014|HONDA|PIONEER 700-4|700|PESADO|VOLQUETA|OCASIONAL|GASOLINA|4|4|.5|112011.58|13441.39|
MEXICO|CENTRAL DE GUATEMALA|12/02/2014| 87032369|2014|VOLKSWAGEN|JETTA 2.0|2000|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|94209|11305.08|
ESTADOS UNIDOS|PUERTO QUETZAL|11/02/2014| 87043159|1990|TOYOTA|DLX SHORT BED 22R|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|3|2|1|25864.11|3103.69|
ESTADOS UNIDOS|EL CARMEN|12/02/2014| 87032369|2007|TOYOTA|COROLLA S|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|32778.43|3933.41|
JAPON|PUERTO BARRIOS|13/02/2014| 87032379|2008|MAZDA|3 S|2300|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25275.12|3033.01|
BRASIL|CENTRAL DE GUATEMALA|12/02/2014| 87032369|2014|VOLKSWAGEN|CROSSFOX 1.6|1600|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|99773.78|11972.85|
JAPON|EL CARMEN|11/02/2014| 87032379|2004|HONDA|CR-V 4X4 LX|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|32507.82|3900.94|
JAPON|TECUN UMAN|13/02/2014| 87032369|2006|MITSUBISHI|LANCER ES|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|23215.78|2785.89|
JAPON|EL CARMEN|13/02/2014| 87032269|2007|HONDA|FIT HATCHBACK|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|22564.43|2707.73|
JAPON|PUERTO QUETZAL|18/02/2014| 87032253|1997|MITSUBISHI|PAJERO JR|1090|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|4|3|0|21123.72|2534.85|
JAPON|CENTRAL DE GUATEMALA|20/02/2014| 87042290|2013|MITSUBISHI|CANTER|3907|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|3.4|145331.58|17439.79|
