Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CANADA|EL CARMEN|28/10/2015| 87032490|2003|ACURA|MDX 4X4|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|4|0|37489.62|4498.75|
ESTADOS UNIDOS|PUERTO BARRIOS|23/10/2015| 87032369|2004|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|14139.55|1696.75|
CANADA|EL CARMEN|31/10/2015| 87032490|2002|ACURA|MDX|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|4|0|28198.74|3383.85|
ESTADOS UNIDOS|PUERTO BARRIOS|29/10/2015| 87032369|2003|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|11349.68|1361.96|
ESTADOS UNIDOS|PUERTO BARRIOS|16/10/2015| 87032369|1998|ACURA|INTEGRA RS|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|12174.28|1460.91|
JAPON|TECUN UMAN|17/10/2015| 87032369|1998|ACURA|INTEGRA LS|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15169.97|1820.4|
ESTADOS UNIDOS|PUERTO BARRIOS|16/10/2015| 87032369|2003|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|12013.39|1441.61|
ESTADOS UNIDOS|PUERTO BARRIOS|19/10/2015| 87032369|2001|ACURA|INTEGRA|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|11641.53|1396.98|
ESTADOS UNIDOS|PUERTO BARRIOS|13/10/2015| 87032379|2010|ACURA|RDX TURBO SH-AWD|2300|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|35752.94|4290.35|
ESTADOS UNIDOS|TECUN UMAN|09/10/2015| 87032490|2005|ACURA|TL|3200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|39081.96|4689.84|
ESTADOS UNIDOS|PUERTO BARRIOS|12/10/2015| 87032369|1999|ACURA|INTEGRA|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|16385.49|1966.26|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|21/10/2015| 87032369|2004|ACURA|RSX TYPES|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|25673.47|3080.82|
ESTADOS UNIDOS|PUERTO BARRIOS|21/10/2015| 87032369|2004|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|20113.95|2413.67|
ESTADOS UNIDOS|TECUN UMAN|27/10/2015| 87032379|1998|ACURA|CL 2.3|2300|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|14465.85|1735.9|
JAPON|SANTO TOMAS DE CASTILLA|29/10/2015| 87032369|2006|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|33036.76|3964.41|
ESTADOS UNIDOS|PUERTO BARRIOS|22/10/2015| 87032369|2005|AUDI|A4 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|20685.88|2482.31|
ESTADOS UNIDOS|PUERTO BARRIOS|31/10/2015| 87032369|2010|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|43370.88|5204.51|
ESTADOS UNIDOS|PUERTO BARRIOS|29/10/2015| 87032369|2008|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|29202.41|3504.29|
ALEMANIA REP. FED.|TECUN UMAN|30/10/2015| 87032369|2007|AUDI|A4 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|30497.55|3659.71|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|30/10/2015| 87032369|2007|AUDI|4A 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16765.99|2011.92|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|16/10/2015| 87032490|2010|AUDI|Q5 4X4|3200|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|83827.71|10059.33|
ESTADOS UNIDOS|PUERTO BARRIOS|19/10/2015| 87032369|2001|AUDI|A4 1.8T QUATTRO|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12009.16|1441.1|
ESTADOS UNIDOS|PUERTO BARRIOS|19/10/2015| 87032369|2011|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|65560.18|7867.22|
HUNGRIA|TECUN UMAN|17/10/2015| 87032369|2008|AUDI|TT 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|32240.01|3868.8|
ESTADOS UNIDOS|PUERTO BARRIOS|16/10/2015| 87032379|2002|AUDI|A4 3.0 QUATTRO|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|9607.65|1152.92|
ESTADOS UNIDOS|PUERTO BARRIOS|16/10/2015| 87032369|2004|AUDI|A4 QUATTRO|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12128.31|1455.4|
ALEMANIA REP. FED.|EL CARMEN|13/10/2015| 87032369|2002|AUDI|A4 1.8T quattro|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|14074.32|1688.92|
ALEMANIA REP. FED.|TECUN UMAN|17/10/2015| 87032369|2010|AUDI|A4 2.0T PREMIUM PLUS|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|78669.31|9440.32|
ESTADOS UNIDOS|PUERTO BARRIOS|27/10/2015| 87032379|2000|AUDI|S4 QUATTRO|2671|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16178.82|1941.46|
ALEMANIA REP. FED.|EL CARMEN|27/10/2015| 87032369|2007|AUDI|A4  QUATTRO 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16101.96|1932.24|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|13/10/2015| 87033269|2016|AUDI|Q5|1968|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|209996.03|25199.52|
ESTADOS UNIDOS|PUERTO BARRIOS|28/10/2015| 87032369|2006|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|24222.29|2906.67|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|27/10/2015| 87032369|2005|AUDI|A4 1.8T|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|10206.88|1224.83|
ALEMANIA REP. FED.|TECUN UMAN|08/10/2015| 87032369|2007|AUDI|A4 QUATTRO 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|26388.02|3166.56|
ESTADOS UNIDOS|PUERTO BARRIOS|08/10/2015| 87032369|2004|AUDI|A4 1.8T QUATTRO|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|11347.62|1361.71|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|09/10/2015| 87032379|2001|AUDI|A4|2800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12692.23|1523.07|
ESTADOS UNIDOS|PUERTO BARRIOS|14/10/2015| 87032369|2006|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|22990.46|2758.86|
ESTADOS UNIDOS|PUERTO BARRIOS|08/10/2015| 87032369|2011|AUDI|A4 2.0T|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|56045.69|6725.48|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|16/10/2015| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|214115.13|25693.82|
