Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|23/03/2011| 87114090|1983|YAMAHA|MAXIM 400|399|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|5695.09|1321.26|
JAPON|CENTRAL DE GUATEMALA|24/03/2011| 87042290|2010|ISUZU|NMR|4570|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|3.3|140813.36|16897.6|
JAPON|EL CARMEN|28/03/2011| 87032369|1999|HONDA|CR-V 4X2 LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|17977.28|6184.19|
JAPON|PEDRO DE ALVARADO|24/03/2011| 87042290|2011|HINO|WU410L-HKMQS3|4009|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|5.25|940724.25|112886.91|
JAPON|PEDRO DE ALVARADO|24/03/2011| 87042290|2011|HINO|WU410L-HKMQS3|4009|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|5.25|940724.25|112886.91|
JAPON|PEDRO DE ALVARADO|24/03/2011| 87042290|2011|HINO|WU410L-HKMQS3|4009|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|5.25|940724.25|112886.91|
JAPON|PEDRO DE ALVARADO|24/03/2011| 87042290|2011|HINO|WU410L-HKMQS3|4009|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|5.25|940724.25|112886.91|
JAPON|PEDRO DE ALVARADO|24/03/2011| 87042290|2011|HINO|WU410L-HKMQS3|4009|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|5.25|940724.25|112886.91|
JAPON|PEDRO DE ALVARADO|24/03/2011| 87042290|2011|HINO|WU410L-HKMQS3|4009|PESADO|CAMION|DISTRIBUIDOR|DIESEL|3|2|5.25|940724.25|112886.91|
ESTADOS UNIDOS|TECUN UMAN|24/03/2011| 87163900|1988|DORSEY|AIDT-86-W-LSM|0|PESADO|FURGON|OCASIONAL|OTROS|0|2|20|17809.25|4131.75|
