Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|13/02/2012| 87042290|1996|ISUZU|FTR TURBO INTERCOOLED|7127|PESADO|CAMION|OCASIONAL|DIESEL|2|2|10|89852|10782.24|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|08/02/2012| 87043151|1994|TOYOTA|4X4|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|3|2|1|27485.27|6376.59|
JAPON|SANTO TOMAS DE CASTILLA|08/02/2012| 87032480|2002|MAZDA|MPV LX|3000|LIVIANO|MICROBUS|OCASIONAL|GASOLINA|7|5|0|16964.78|4885.86|
JAPON|SANTO TOMAS DE CASTILLA|08/02/2012| 87032369|2003|MAZDA|PROTEGE LX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15606.04|5368.48|
COREA DEL SUR|CENTRAL DE GUATEMALA|09/02/2012| 87032369|2011|CHEVROLET|CRUZE|1800|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|97709.43|33612.05|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|09/02/2012| 87032369|2004|MITSUBISHI|LANCER ES|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15387.72|5293.37|
ESTADOS UNIDOS|PUERTO BARRIOS|09/02/2012| 87043159|2004|NISSAN|FRONTIER XE 4X2 K/C|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|3|2|1|41705.76|9675.74|
ESTADOS UNIDOS|PUERTO BARRIOS|10/02/2012| 87043159|2005|DODGE|RAM 3500 HEAVY DUTY 4X4 S|5900|LIVIANO|PICK UP|OCASIONAL|DIESEL|6|4|1|25432.79|5900.41|
ESTADOS UNIDOS|PUERTO BARRIOS|10/02/2012| 87032379|2004|CHEVROLET|AVEO|1600|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16166.88|5561.41|
JAPON|EL CARMEN|10/02/2012| 87043151|1985|TOYOTA|DLX 4X4|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|17872.74|4146.47|
REINO UNIDO|CENTRAL DE GUATEMALA|13/02/2012| 87032369|2013|NISSAN|Qashqai J10|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|132301.54|45511.73|
JAPON|TECUN UMAN|11/02/2012| 87032369|2003|MAZDA|PROTEGE DX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|17678.89|6081.54|
JAPON|EL CARMEN|10/02/2012| 87043161|1987|TOYOTA|4X4 XTRA CAB|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|21943.54|5090.9|
ESTADOS UNIDOS|TECUN UMAN|11/02/2012| 87032379|2000|HONDA|CR-V LX 4X2|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|24114.63|8295.44|
ESTADOS UNIDOS|EL CARMEN|10/02/2012| 87043159|1996|TOYOTA|TACOMA 4X2 X/C LX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|31054.37|7204.62|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|10/02/2012| 87032379|2002|MAZDA|PROTEGE DX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15197.64|5227.99|
ESTADOS UNIDOS|PUERTO BARRIOS|10/02/2012| 87032379|2001|NISSAN|SENTRA GXE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12708.64|4371.77|
JAPON|EL CARMEN|10/02/2012| 87032369|2006|MAZDA|3I|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|22176.15|7628.6|
COREA DEL SUR|EL CARMEN|10/02/2012| 87032369|2004|SUZUKI|SWIFT|1600|LIVIANO|CAMIONETILLA|OCASIONAL|GASOLINA|5|4|0|28495.58|9802.48|
JAPON|TECUN UMAN|11/02/2012| 87032374|2001|SUZUKI|GRAND VITARA XL-7  4X4|2700|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|4|0|18493.05|5326|
ESTADOS UNIDOS|TECUN UMAN|11/02/2012| 87043151|1989|TOYOTA|STD 4X2|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|16128.11|3741.72|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|10/02/2012| 87032369|2002|MAZDA|PROTEGE DX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|15779.19|5428.04|
CHINA|PUERTO QUETZAL|15/02/2012| 87112090|2012|HONDA|SC125 ELITE|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|1474422.2|342065.95|
CHINA|PUERTO QUETZAL|15/02/2012| 87112090|2012|HONDA|SC125 ELITE|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|1474422.2|342065.95|
CHINA|PUERTO QUETZAL|15/02/2012| 87112090|2012|HONDA|SC125 ELITE|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|1474422.2|342065.95|
CHINA|PUERTO QUETZAL|15/02/2012| 87112090|2012|HONDA|SC125 ELITE|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|1474422.2|342065.95|
