Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1999|AJAX|CH40GN|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|25336.58|5878.09|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|2001|HYUNDAI|CCN40-426|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|31060.21|7205.97|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1980|AUSTIN|SIN LINEA|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|21520.83|4992.83|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1975|AJAX|SL|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|17705.08|4107.58|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1997|AJAX|CH40GN|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|25336.58|5878.09|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1998|AJAX|SIN LINEA|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|25336.58|5878.09|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1976|GINDY|SIN LINEA|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|21520.83|4992.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|14/09/2012| 87043161|2012|CHEVROLET|CMV|800|LIVIANO|PANEL|DISTRIBUIDOR|GASOLINA|2|5|.45|47664.42|5719.73|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1980|AUSTIN|SIN LINEA|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|21520.83|4992.83|
ESTADOS UNIDOS|EXPRESS AEREO|21/09/2012| 87163900|1995|STRICK|SL|0|PESADO|PORTA CONTENEDOR|OCASIONAL|OTROS|0|0|20|23047.13|5346.93|
JAPON|EL CARMEN|19/09/2012| 87043151|1986|TOYOTA|DLX 4X2|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|28656.87|3438.82|
JAPON|EL CARMEN|22/09/2012| 87043151|1995|TOYOTA|XTRA CAB 4X4 DX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|27423.03|3290.76|
JAPON|EL CARMEN|24/09/2012| 87043151|1986|TOYOTA|DLX STD 4X4|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|30696.98|3683.64|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|26/09/2012| 87032373|2012|JEEP|COMPASS|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|152211.87|18265.42|
JAPON|CENTRAL DE GUATEMALA|27/09/2012| 87032263|2012|SUZUKI|JIMNY JX 4X4 A/C 1.3 MT|1328|LIVIANO|JEEP|OCASIONAL|GASOLINA|4|3|0|187139.37|22456.72|
JAPON|CENTRAL DE GUATEMALA|27/09/2012| 87032263|2012|SUZUKI|JIMNY JX 4X4 A/C 1.3 MT|1328|LIVIANO|JEEP|OCASIONAL|GASOLINA|4|3|0|187139.37|22456.72|
JAPON|CENTRAL DE GUATEMALA|27/09/2012| 87032263|2012|SUZUKI|JIMNY JX 4X4 A/C 1.3 MT|1328|LIVIANO|JEEP|OCASIONAL|GASOLINA|4|3|0|93965.08|11275.81|
INDIA|CENTRAL DE GUATEMALA|27/09/2012| 87032190|2012|SUZUKI|ALTO LHD 800 STANDARD A/C|800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|86318.62|10358.23|
