Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
COREA DEL SUR|CENTRAL DE GUATEMALA|08/05/2013| 87032259|2013|CHEVROLET|SPARK|1200|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|56402.85|6768.34|
JAPON|EXPRESS AEREO|13/05/2013| 87114090|2012|KAWASAKI|KLR650|650|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|43371.42|5204.57|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
CHINA|CENTRAL DE GUATEMALA|10/05/2013| 87112090|2013|ITALIKA|RT180|180|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|437577.58|52509.31|
MEXICO|TECUN UMAN|09/05/2013| 87163900|2004|HYUNDAI|V12530152-AJS|0|PESADO|SEMI REMOLQUE|OCASIONAL|OTROS|0|2|23|119170.59|27647.58|
MEXICO|TECUN UMAN|08/05/2013| 87163900|2004|HYUNDAI|V12530152-AJS|0|PESADO|SEMI REMOLQUE|OCASIONAL|OTROS|0|2|23|119170.67|27647.6|
MEXICO|TECUN UMAN|08/05/2013| 87163900|2004|HYUNDAI|V12530152-AJS|0|PESADO|SEMI REMOLQUE|OCASIONAL|OTROS|0|2|23|119170.59|27647.58|
TAILANDIA|PUERTO QUETZAL|13/05/2013| 87042159|2013|TOYOTA|HI LUX|2982|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|167032.85|20043.94|
TAILANDIA|PUERTO QUETZAL|09/05/2013| 87042159|2013|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|115944.02|13913.28|
ESTADOS UNIDOS|TECUN UMAN|08/05/2013| 87163900|1979|ROGERS PHELAN|SIN LINEA|0|PESADO|LOW BOY|OCASIONAL|OTROS|0|0|50|72511.46|16822.66|
ESTADOS UNIDOS|TECUN UMAN|08/05/2013| 87163900|1996|GREAT DANE|SIN LINEA|0|PESADO|FURGON|OCASIONAL|OTROS|0|2|25|25830.26|5992.62|
JAPON|PUERTO QUETZAL|09/05/2013| 87032259|2013|TOYOTA|YARIS|1299|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|79205.2|9504.62|
JAPON|EL CARMEN|28/05/2013| 87042199|1997|MITSUBISHI FUSO|FE639|3900|PESADO|CAMION|OCASIONAL|DIESEL|3|2|3|37738.67|4528.64|
ESTADOS UNIDOS|EL CARMEN|28/05/2013| 87043151|1993|TOYOTA|X/C 4X2 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|21848.71|2621.85|
JAPON|CENTRAL DE GUATEMALA|29/05/2013| 87032369|2014|MITSUBISHI|LANCER EX|1600|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|88331.24|10599.75|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|30/05/2013| 87033273|2013|MERCEDES-BENZ|ML 250 CDI|2200|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|331743.2|39809.18|
JAPON|CENTRAL DE GUATEMALA|29/05/2013| 87033370|2013|TOYOTA|LAND CRUISER PRADO|2982|LIVIANO|CAMIONETA|DISTRIBUIDOR|DIESEL|7|5|0|220192.89|26423.15|
ESTADOS UNIDOS|PEDRO DE ALVARADO|28/05/2013| 87043151|1996|FORD|RANGER SUPER CAB XLT 4X2|3000|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|40792.51|4895.1|
COREA DEL SUR|CENTRAL DE GUATEMALA|29/05/2013| 87032170|2012|CHEVROLET|CMV|800|LIVIANO|MICROBUS|DISTRIBUIDOR|GASOLINA|7|5|0|57414.19|6889.7|
ESTADOS UNIDOS|PUERTO BARRIOS|28/05/2013| 87032379|2006|BMW|530I|2996|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|55030.7|6603.68|
JAPON|CENTRAL DE GUATEMALA|31/05/2013| 87032369|2014|SUZUKI|G. VITARA 2.4 JLX 4X4 MT|2400|LIVIANO|JEEP|OCASIONAL|GASOLINA|5|5|0|221606.86|26592.82|
JAPON|CENTRAL DE GUATEMALA|31/05/2013| 87032369|2014|SUZUKI|G. VITARA 2.4 JLX 4X4 MT|2400|LIVIANO|JEEP|OCASIONAL|GASOLINA|5|5|0|221606.86|26592.82|
JAPON|PUERTO QUETZAL|09/05/2013| 87032369|2013|TOYOTA|COROLLA|1598|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|193991.51|23278.98|
JAPON|PUERTO QUETZAL|09/05/2013| 87032369|2013|TOYOTA|COROLLA|1598|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|193991.51|23278.98|
TAILANDIA|CENTRAL DE GUATEMALA|09/05/2013| 87042159|2013|NISSAN|NAVARA D40 4X4 D/C|2500|LIVIANO|PICK UP|OCASIONAL|DIESEL|5|4|1|150273.13|18032.78|
JAPON|EL CARMEN|28/05/2013| 87032269|2004|SCION|XA H/B|1500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|20524.54|2462.94|
MEXICO|CENTRAL DE GUATEMALA|29/05/2013| 87032369|2013|VOLKSWAGEN|JETTA 2.0|2000|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|94337.18|11320.46|
ESTADOS UNIDOS|EL CARMEN|28/05/2013| 87032490|2011|HONDA|PILOT 4X2|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|4|0|82643.41|9917.21|
JAPON|EL CARMEN|28/05/2013| 87043151|1991|TOYOTA|XTRA CAB 4X2 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|39118.45|4694.21|
ESTADOS UNIDOS|PUERTO QUETZAL|28/05/2013| 87114090|2003|HONDA|CRF450R|450|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|30911.28|3709.35|
ESTADOS UNIDOS|PUERTO BARRIOS|28/05/2013| 87043151|1999|FORD|F-150 4X2 XL SUPER CAB|4200|LIVIANO|PICK UP|OCASIONAL|GASOLINA|5|2|1|16591|1990.92|
JAPON|PUERTO QUETZAL|29/05/2013| 87113090|2013|HONDA|CRF450RD|450|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|93474.14|11216.9|
JAPON|PUERTO QUETZAL|29/05/2013| 87113090|2013|HONDA|CRF450RD|450|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|93474.14|11216.9|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|NC700XDD|700|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|498635.84|59836.3|
JAPON|PUERTO QUETZAL|29/05/2013| 87115090|2012|HONDA|VFR1200XDC|1200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|107182.74|12861.93|
JAPON|PUERTO QUETZAL|29/05/2013| 87115090|2012|HONDA|VFR1200XDC|1200|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|107182.74|12861.93|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|VFR800XD|800|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|68141.56|8176.99|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|VFR800XD|800|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|68141.56|8176.99|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|XR650LD|650|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|85136.81|10216.42|
JAPON|PUERTO QUETZAL|29/05/2013| 87114090|2013|HONDA|XR650LD|650|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|85136.81|10216.42|
