Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|PUERTO BARRIOS|30/11/2015| 87032369|2003|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|7295.46|875.46|
JAPON|G1, INTEGRADA|03/12/2015| 87032369|2000|ACURA|INTEGRA LS|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|7168.03|860.16|
ESTADOS UNIDOS|PUERTO BARRIOS|01/12/2015| 87032369|2000|ACURA|INTEGRA|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|10687.43|1282.49|
ESTADOS UNIDOS|PUERTO BARRIOS|01/12/2015| 87032490|2005|ACURA|TL|3200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|4|0|19015.53|2281.86|
ESTADOS UNIDOS|PUERTO BARRIOS|09/11/2015| 87032369|2005|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|12334.49|1480.14|
CANADA|EL CARMEN|04/12/2015| 87032490|2003|ACURA|MDX 4X4|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|7|4|0|31812.31|3817.48|
ESTADOS UNIDOS|TECUN UMAN|05/12/2015| 87032490|2004|ACURA|TL|3200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|34285.75|4114.29|
ESTADOS UNIDOS|PUERTO BARRIOS|24/11/2015| 87032369|2003|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|9944.76|1193.37|
ESTADOS UNIDOS|PUERTO BARRIOS|11/11/2015| 87032379|2007|ACURA|RDX TURBO SH AWD|2300|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|26389.96|3166.8|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|26/11/2015| 87032369|2002|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|13268.12|1592.17|
