Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CANADA|SANTO TOMAS DE CASTILLA|03/11/2015| 87032490|2001|ACURA|MDX 4X4|3500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|13935.38|1672.25|
ESTADOS UNIDOS|PUERTO BARRIOS|07/11/2015| 87032369|2004|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|9734.17|1168.1|
ESTADOS UNIDOS|PUERTO BARRIOS|06/11/2015| 87032369|2002|ACURA|RSX TYPES|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|14470.95|1736.51|
ESTADOS UNIDOS|PUERTO BARRIOS|02/11/2015| 87032369|2002|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|10191.39|1222.97|
ESTADOS UNIDOS|PUERTO BARRIOS|03/11/2015| 87032369|2003|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|28942.7|3473.12|
ESTADOS UNIDOS|PUERTO BARRIOS|03/11/2015| 87032369|2002|ACURA|RSX TYPE-S|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|13861.82|1663.42|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|07/11/2015| 87032369|2003|ACURA|RSX|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|2|2|0|18318.63|2198.24|
ESTADOS UNIDOS|PUERTO BARRIOS|02/11/2015| 87032490|1999|ACURA|3.2 TL|3200|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|14405.88|1728.71|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|05/11/2015| 87032269|2015|AUDI|A1 SEDAN|1390|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|146390.11|17566.81|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|05/11/2015| 87032269|2015|AUDI|A1 SEDAN|1390|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|146390.11|17566.81|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|05/11/2015| 87032369|2015|AUDI|A3 SEDAN|1798|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|190651.19|22878.14|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|06/11/2015| 87032369|2016|AUDI|Q5|1984|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|233942.44|28073.09|
ESTADOS UNIDOS|PUERTO BARRIOS|03/11/2015| 87032369|2012|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|40718.86|4886.26|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|05/11/2015| 87032369|2015|AUDI|A3 SEDAN|1798|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|5|0|190631.27|22875.75|
ESTADOS UNIDOS|PUERTO BARRIOS|06/11/2015| 87032369|2006|AUDI|A4 QUATTRO|1984|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|21652.78|2598.33|
ESTADOS UNIDOS|PUERTO BARRIOS|05/11/2015| 87032369|2001|AUDI|TT QUATTRO|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|2|2|0|17719.69|2126.36|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|05/11/2015| 87032369|2016|AUDI|A4|1798|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|167843.3|20141.2|
ESTADOS UNIDOS|PUERTO BARRIOS|04/11/2015| 87032369|2008|AUDI|A4 2.0T QUATTRO|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|11979.14|1437.5|
ESTADOS UNIDOS|PUERTO BARRIOS|06/11/2015| 87032379|2008|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|22191.72|2663.01|
ALEMANIA REP. FED.|PUERTO BARRIOS|06/11/2015| 87032379|2005|BMW|X3 3.0I 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|24205.12|2904.61|
ALEMANIA REP. FED.|PUERTO BARRIOS|05/11/2015| 87032379|2005|BMW|325i|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25522.78|3062.73|
ALEMANIA REP. FED.|PUERTO BARRIOS|05/11/2015| 87032379|2007|BMW|335I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|37660.08|4519.21|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87032369|2015|BMW|316I|1598|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|188130.17|22575.62|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87032369|2015|BMW|316I|1598|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|193329|23199.48|
ALEMANIA REP. FED.|TECUN UMAN|07/11/2015| 87032379|2006|BMW|X3 3.0i|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|25906.69|3108.8|
ESTADOS UNIDOS|PUERTO BARRIOS|06/11/2015| 87032379|2006|BMW|X3 3.0I 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|28026.82|3363.22|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|04/11/2015| 87032379|2007|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|38715.96|4645.92|
ESTADOS UNIDOS|PUERTO BARRIOS|04/11/2015| 87032379|2008|BMW|X3 3.0 SI 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|57331.46|6879.78|
ESTADOS UNIDOS|PUERTO BARRIOS|07/11/2015| 87032379|2003|BMW|330XI|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12018.25|1442.19|
ESTADOS UNIDOS|PUERTO BARRIOS|03/11/2015| 87032379|2004|BMW|X5 3.0I|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|28391.41|3406.97|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87032369|2015|BMW|316I|1598|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|188130.17|22575.62|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87032369|2016|BMW|120i|1598|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|159353.43|19122.41|
ALEMANIA REP. FED.|PUERTO BARRIOS|06/11/2015| 87032379|2005|BMW|X3|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|38936.68|4672.4|
ESTADOS UNIDOS|PUERTO BARRIOS|07/11/2015| 87032369|2013|BMW|328I|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|63724.32|7646.92|
ALEMANIA REP. FED.|TECUN UMAN|07/11/2015| 87032379|2007|BMW|328i|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|28765.62|3451.87|
ALEMANIA REP. FED.|EL CARMEN|03/11/2015| 87032379|2006|BMW|325i|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19003.5|2280.42|
ESTADOS UNIDOS|PUERTO BARRIOS|04/11/2015| 87032490|2005|BMW|545I|4398|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|34291.71|4115.01|
ALEMANIA REP. FED.|SANTO TOMAS DE CASTILLA|03/11/2015| 87032369|1991|BMW|318I CONVERTIBLE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|46592.01|5591.04|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87033269|2016|BMW|X1 SDRIVE18D|1995|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|192684.8|23122.18|
ESTADOS UNIDOS|PUERTO BARRIOS|04/11/2015| 87032379|2006|BMW|X3 3.0I 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|17911.3|2149.36|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|07/11/2015| 87032379|2006|BMW|325I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|24128.48|2895.42|
ALEMANIA REP. FED.|PUERTO BARRIOS|06/11/2015| 87032379|2006|BMW|X3 3.0I|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|44209.99|5305.2|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87032369|2016|BMW|330i|1998|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|256120.31|30734.44|
JAPON|PUERTO QUETZAL|05/11/2015| 87032379|2002|BMW|Z3|2170|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|2|2|0|28696.7|3443.6|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|05/11/2015| 87033390|2016|BMW|X5  XDRIVE30D|2993|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|374905.41|44988.65|
ESTADOS UNIDOS|TECUN UMAN|03/11/2015| 87032379|2006|BMW|X5 4X2|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|32916.58|3949.99|
ALEMANIA REP. FED.|EL CARMEN|06/11/2015| 87032379|2007|BMW|X3 AWD 3.0 Si|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|35012.35|4201.48|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|06/11/2015| 87033269|2016|BMW|X5SDRIVE25D|1995|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|283432.89|34011.95|
ESTADOS UNIDOS|PUERTO BARRIOS|05/11/2015| 87032379|2005|BMW|X3 2.5i 4X4|2500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|15223.31|1826.8|
ESTADOS UNIDOS|PUERTO BARRIOS|06/11/2015| 87032379|2008|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25224.13|3026.9|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|03/11/2015| 87032379|2003|BMW|325I|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|12097.74|1451.73|
ESTADOS UNIDOS|PUERTO BARRIOS|04/11/2015| 87032379|2004|BMW|325I|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|20207.62|2424.91|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87033269|2016|BMW|X1 SDRIVE18D|1995|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|197071.92|23648.63|
ESTADOS UNIDOS|PUERTO BARRIOS|07/11/2015| 87032379|2004|BMW|X3 2.5I 4X4|2500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|31486.59|3778.39|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|03/11/2015| 87032379|2003|BMW|325CI|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|15795.98|1895.52|
ALEMANIA REP. FED.|EXPRESS AEREO|05/11/2015| 87032490|2001|BMW|4X4 X5|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|33893.32|4067.2|
ALEMANIA REP. FED.|TECUN UMAN|07/11/2015| 87032379|2003|BMW|325XI|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|18303.3|2196.4|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|04/11/2015| 87032379|2015|BMW|M235I COUPE|2979|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|281967.86|33836.14|
ALEMANIA REP. FED.|TECUN UMAN|07/11/2015| 87032379|2011|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|70844.82|8501.38|
ESTADOS UNIDOS|PUERTO BARRIOS|07/11/2015| 87032379|2007|BMW|335I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|25860.7|3103.28|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|03/11/2015| 87033269|2015|BMW|X1 SDRIVE18D|1995|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|214558.05|25746.97|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|02/11/2015| 87032379|2004|BMW|X3 2.5I 4X4|2500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|20995.8|2519.5|
ESTADOS UNIDOS|PUERTO BARRIOS|07/11/2015| 87032379|2011|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|34590.79|4150.89|
ESTADOS UNIDOS|TECUN UMAN|07/11/2015| 87032379|2008|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|46126.16|5535.14|
ALEMANIA REP. FED.|EL CARMEN|02/11/2015| 87032379|2006|BMW|330xi AWD|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|22068.58|2648.23|
ESTADOS UNIDOS|PUERTO BARRIOS|02/11/2015| 87032379|2006|BMW|325XI|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|14850.31|1782.04|
ESTADOS UNIDOS|PUERTO BARRIOS|04/11/2015| 87032379|2008|BMW|328XI|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|18278.71|2193.45|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|05/11/2015| 87033269|2016|BMW|X3 XDRIVE20D|1995|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|257740.79|30928.89|
