Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
JAPON|CENTRAL DE GUATEMALA|06/06/2014| 87042169|2013|MITSUBISHI|L300|2500|LIVIANO|PANEL|DISTRIBUIDOR|DIESEL|3|5|1.25|77480.76|9297.69|
JAPON|CENTRAL DE GUATEMALA|06/06/2014| 87021060|2013|MITSUBISHI|L300|2500|LIVIANO|MICROBUS|DISTRIBUIDOR|DIESEL|12|5|0|568642.12|68237.05|
JAPON|CENTRAL DE GUATEMALA|06/06/2014| 87021060|2013|MITSUBISHI|L300|2500|LIVIANO|MICROBUS|DISTRIBUIDOR|DIESEL|12|5|0|568642.12|68237.05|
JAPON|CENTRAL DE GUATEMALA|06/06/2014| 87021060|2013|MITSUBISHI|L300|2500|LIVIANO|MICROBUS|DISTRIBUIDOR|DIESEL|12|5|0|568642.12|68237.05|
JAPON|CENTRAL DE GUATEMALA|06/06/2014| 87021060|2013|MITSUBISHI|L300|2500|LIVIANO|MICROBUS|DISTRIBUIDOR|DIESEL|12|5|0|568642.12|68237.05|
JAPON|CENTRAL DE GUATEMALA|06/06/2014| 87021060|2013|MITSUBISHI|L300|2500|LIVIANO|MICROBUS|DISTRIBUIDOR|DIESEL|12|5|0|568642.12|68237.05|
JAPON|CENTRAL DE GUATEMALA|06/06/2014| 87021060|2013|MITSUBISHI|L300|2500|LIVIANO|MICROBUS|DISTRIBUIDOR|DIESEL|12|5|0|568642.12|68237.05|
TAILANDIA|PUERTO QUETZAL|16/05/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|3|2|1|211378.59|25365.43|
TAILANDIA|PUERTO QUETZAL|16/05/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|3|2|1|211378.59|25365.43|
ESTADOS UNIDOS|TECUN UMAN|14/05/2014| 87032369|2005|PONTIAC|VIBE|1800|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|13735.9|1648.31|
TAILANDIA|CENTRAL DE GUATEMALA|15/05/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|3|2|1|211378.59|25365.43|
TAILANDIA|CENTRAL DE GUATEMALA|15/05/2014| 87042159|2014|TOYOTA|HI LUX|2494|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|3|2|1|211378.59|25365.43|
ALEMANIA REP. FED.|EL CARMEN|14/05/2014| 87032379|2005|BMW|X3 3.0i AWD|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|46995.31|5639.44|
JAPON|EL CARMEN|16/05/2014| 87032379|2004|HONDA|CR-V REAL TIME 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|38882.09|4665.85|
JAPON|CENTRAL DE GUATEMALA|19/05/2014| 87032369|2014|TOYOTA|COROLLA XLI|1598|LIVIANO|AUTOMOVIL|DISTRIBUIDOR|GASOLINA|5|4|0|90385.43|10846.25|
JAPON|EL CARMEN|16/05/2014| 87032369|2005|MAZDA|3|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19556.76|2346.81|
JAPON|EL CARMEN|16/05/2014| 87043151|1994|TOYOTA|XTRA CAB DLX 4X2|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|39052.97|4686.36|
JAPON|EL CARMEN|16/05/2014| 87032369|2002|TOYOTA|RAV-4 4X2|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|36019.93|4322.39|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|16/05/2014| 87032379|2005|LAND ROVER|FREELANDER SE 4X4|2500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|37647.74|4517.73|
ALEMANIA REP. FED.|PUERTO QUETZAL|19/05/2014| 87032490|2015|AUDI|A8L|3993|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|664847.75|79781.73|
ALEMANIA REP. FED.|PUERTO BARRIOS|16/05/2014| 87032379|2009|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|62778.37|7533.4|
