Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EXPRESS AEREO|13/07/2011| 87032369|1998|TOYOTA|COROLLA CE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|24280|8352.32|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/07/2011| 87032369|2012|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|112422.9|38673.48|
JAPON|EL CARMEN|15/07/2011| 87043159|1993|TOYOTA|XTRA CAB 4X4 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|15508.47|3597.97|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|18/07/2011| 87032369|2011|BMW|320i|1995|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|173927.62|59831.1|
ESTADOS UNIDOS|TECUN UMAN|18/07/2011| 87043151|2001|TOYOTA|TUNDRA ACCESS CAB 4X2|3400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|5|4|1|30202.05|7006.88|
JAPON|EL CARMEN|18/07/2011| 87043159|1990|TOYOTA|4X2 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|14540.3|3373.35|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
CHINA|PUERTO QUETZAL|18/07/2011| 87112090|2012|FREEDOM|FIRE125|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|852054.46|197676.64|
