Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|69037.19|8284.46|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
CHINA|EXPRESS AEREO|11/11/2014| 87042159|2013|CHANGAN|SC1040MAD41|2672|PESADO|CAMION|OCASIONAL|DIESEL|3|2|2|68845.39|8261.45|
